route,from_iata,to_iata,from_city,to_city,travel_date,airline,departure,arrival,duration,stops,layover_airport,co2_kg,co2_vs_avg,price_inr,trip_type,scraped_at
ATQ-BLR,ATQ,BLR,Amritsar,Bangalore,2026-05-27,,11:20 AM,2:40 PM,3 hr 20 min,Nonstop,,137,-22%,19007,Round trip,2026-05-26T01:21:19.468272
ATQ-BLR,ATQ,BLR,Amritsar,Bangalore,2026-05-27,,10:40 PM,4:40 AM,6 hr,1 stop,BLR,177,Avg,20249,Round trip,2026-05-26T01:21:19.471719
ATQ-BLR,ATQ,BLR,Amritsar,Bangalore,2026-05-27,,11:55 PM,8:30 AM,8 hr 35 min,1 stop,BLR,170,Avg,20056,Round trip,2026-05-26T01:21:19.475068
ATQ-BLR,ATQ,BLR,Amritsar,Bangalore,2026-05-27,,11:55 PM,6:35 AM,6 hr 40 min,1 stop,BLR,170,Avg,20979,Round trip,2026-05-26T01:21:19.477920
ATQ-BLR,ATQ,BLR,Amritsar,Bangalore,2026-05-27,,11:10 PM,5:55 AM,6 hr 45 min,1 stop,BLR,247,+40%,36197,Round trip,2026-05-26T01:21:19.480474
ATQ-BLR,ATQ,BLR,Amritsar,Bangalore,2026-05-27,,12:40 PM,7:55 PM,7 hr 15 min,1 stop,BLR,247,+40%,41153,Round trip,2026-05-26T01:21:19.482929
ATQ-BLR,ATQ,BLR,Amritsar,Bangalore,2026-05-27,,11:20 AM,11:20 AM,3 hr 20 min,Nonstop,,137,-22%,19007,Round trip,2026-05-26T01:21:19.487591
ATQ-BLR,ATQ,BLR,Amritsar,Bangalore,2026-05-27,,10:40 PM,10:40 PM,6 hr,1 stop,,177,Avg,20249,Round trip,2026-05-26T01:21:19.489948
ATQ-BLR,ATQ,BLR,Amritsar,Bangalore,2026-05-27,,11:55 PM,11:55 PM,8 hr 35 min,1 stop,,170,Avg,20056,Round trip,2026-05-26T01:21:19.492337
ATQ-BLR,ATQ,BLR,Amritsar,Bangalore,2026-05-27,,11:55 PM,11:55 PM,6 hr 40 min,1 stop,,170,Avg,20979,Round trip,2026-05-26T01:21:19.494613
ATQ-BLR,ATQ,BLR,Amritsar,Bangalore,2026-05-27,,11:10 PM,11:10 PM,6 hr 45 min,1 stop,,247,+40%,36197,Round trip,2026-05-26T01:21:19.496824
ATQ-BLR,ATQ,BLR,Amritsar,Bangalore,2026-05-27,,12:40 PM,12:40 PM,7 hr 15 min,1 stop,,247,+40%,41153,Round trip,2026-05-26T01:21:19.499212
ATQ-BLR,ATQ,BLR,Amritsar,Bangalore,2026-06-03,,11:20 AM,2:40 PM,3 hr 20 min,Nonstop,,138,-22%,19894,Round trip,2026-05-26T01:21:31.040898
ATQ-BLR,ATQ,BLR,Amritsar,Bangalore,2026-06-03,,11:55 PM,6:35 AM,6 hr 40 min,1 stop,BLR,171,Avg,23420,Round trip,2026-05-26T01:21:31.044739
ATQ-BLR,ATQ,BLR,Amritsar,Bangalore,2026-06-03,,10:40 PM,6:25 AM,7 hr 45 min,1 stop,BLR,178,Avg,24193,Round trip,2026-05-26T01:21:31.048884
ATQ-BLR,ATQ,BLR,Amritsar,Bangalore,2026-06-03,,12:40 PM,7:55 PM,7 hr 15 min,1 stop,BLR,166,-6%,25597,Round trip,2026-05-26T01:21:31.051720
ATQ-BLR,ATQ,BLR,Amritsar,Bangalore,2026-06-03,,12:40 PM,12:55 AM,12 hr 15 min,1 stop,BLR,166,-6%,24221,Round trip,2026-05-26T01:21:31.054297
ATQ-BLR,ATQ,BLR,Amritsar,Bangalore,2026-06-03,,12:40 PM,11:40 PM,11 hr,1 stop,BLR,166,-6%,24541,Round trip,2026-05-26T01:21:31.056943
ATQ-BLR,ATQ,BLR,Amritsar,Bangalore,2026-06-03,,11:10 PM,5:55 AM,6 hr 45 min,1 stop,BLR,248,+41%,36073,Round trip,2026-05-26T01:21:31.059455
ATQ-BLR,ATQ,BLR,Amritsar,Bangalore,2026-06-03,,10:40 PM,4:40 AM,6 hr,1 stop,BLR,267,+52%,39768,Round trip,2026-05-26T01:21:31.061846
ATQ-BLR,ATQ,BLR,Amritsar,Bangalore,2026-06-03,,11:20 AM,11:20 AM,3 hr 20 min,Nonstop,,138,-22%,19894,Round trip,2026-05-26T01:21:31.066472
ATQ-BLR,ATQ,BLR,Amritsar,Bangalore,2026-06-03,,11:55 PM,11:55 PM,6 hr 40 min,1 stop,,171,Avg,23420,Round trip,2026-05-26T01:21:31.068797
ATQ-BLR,ATQ,BLR,Amritsar,Bangalore,2026-06-03,,10:40 PM,10:40 PM,7 hr 45 min,1 stop,,178,Avg,24193,Round trip,2026-05-26T01:21:31.071124
ATQ-BLR,ATQ,BLR,Amritsar,Bangalore,2026-06-03,,12:40 PM,12:40 PM,7 hr 15 min,1 stop,,166,-6%,25597,Round trip,2026-05-26T01:21:31.073445
ATQ-BLR,ATQ,BLR,Amritsar,Bangalore,2026-06-03,,12:40 PM,12:40 PM,12 hr 15 min,1 stop,,166,-6%,24221,Round trip,2026-05-26T01:21:31.075927
ATQ-BLR,ATQ,BLR,Amritsar,Bangalore,2026-06-03,,12:40 PM,12:40 PM,11 hr,1 stop,,166,-6%,24541,Round trip,2026-05-26T01:21:31.078345
ATQ-BLR,ATQ,BLR,Amritsar,Bangalore,2026-06-03,,11:10 PM,11:10 PM,6 hr 45 min,1 stop,,248,+41%,36073,Round trip,2026-05-26T01:21:31.080844
ATQ-BLR,ATQ,BLR,Amritsar,Bangalore,2026-06-03,,10:40 PM,10:40 PM,6 hr,1 stop,,267,+52%,39768,Round trip,2026-05-26T01:21:31.083219
ATQ-BLR,ATQ,BLR,Amritsar,Bangalore,2026-06-10,,10:40 PM,6:25 AM,7 hr 45 min,1 stop,BLR,178,Avg,17219,Round trip,2026-05-26T01:21:42.390353
