route,from_city,to_city,airline,price_inr,departure,arrival,duration,stops,scraped_at
ATQ-BLR,Amritsar,Bangalore,,15484,11:20 AM,2:40 PM,3 hr 20 min,Nonstop,2026-05-26T00:59:07.889953
ATQ-BLR,Amritsar,Bangalore,,18188,11:55 PM,6:35 AM,6 hr 40 min,1 stop,2026-05-26T00:59:07.893610
ATQ-BLR,Amritsar,Bangalore,,33785,10:40 PM,4:40 AM,6 hr,1 stop,2026-05-26T00:59:07.896426
ATQ-BLR,Amritsar,Bangalore,,34774,12:40 PM,7:55 PM,7 hr 15 min,1 stop,2026-05-26T00:59:07.898910
ATQ-BLR,Amritsar,Bangalore,,46674,11:10 PM,5:55 AM,6 hr 45 min,1 stop,2026-05-26T00:59:07.901432
ATQ-BLR,Amritsar,Bangalore,,15484,11:20 AM,11:20 AM,3 hr 20 min,Nonstop,2026-05-26T00:59:07.917761
ATQ-BLR,Amritsar,Bangalore,,18188,11:55 PM,11:55 PM,6 hr 40 min,1 stop,2026-05-26T00:59:07.921377
ATQ-BLR,Amritsar,Bangalore,,33785,10:40 PM,10:40 PM,6 hr,1 stop,2026-05-26T00:59:07.923824
ATQ-BLR,Amritsar,Bangalore,,34774,12:40 PM,12:40 PM,7 hr 15 min,1 stop,2026-05-26T00:59:07.926042
ATQ-BLR,Amritsar,Bangalore,,46674,11:10 PM,11:10 PM,6 hr 45 min,1 stop,2026-05-26T00:59:07.928238
ATQ-COK,Amritsar,Cochin,,16747,11:55 PM,4:50 AM,4 hr 55 min,1 stop,2026-05-26T00:59:21.286906
ATQ-COK,Amritsar,Cochin,,19649,11:20 AM,7:05 PM,7 hr 45 min,1 stop,2026-05-26T00:59:21.289169
ATQ-COK,Amritsar,Cochin,,20576,12:40 PM,8:20 PM,7 hr 40 min,1 stop,2026-05-26T00:59:21.291394
ATQ-COK,Amritsar,Cochin,,21515,11:20 AM,4:50 PM,5 hr 30 min,1 stop,2026-05-26T00:59:21.293579
ATQ-COK,Amritsar,Cochin,,16747,11:55 PM,11:55 PM,4 hr 55 min,1 stop,2026-05-26T00:59:21.297828
ATQ-COK,Amritsar,Cochin,,19649,11:20 AM,11:20 AM,7 hr 45 min,1 stop,2026-05-26T00:59:21.299910
ATQ-COK,Amritsar,Cochin,,20576,12:40 PM,12:40 PM,7 hr 40 min,1 stop,2026-05-26T00:59:21.302145
ATQ-COK,Amritsar,Cochin,,21515,11:20 AM,11:20 AM,5 hr 30 min,1 stop,2026-05-26T00:59:21.304446
ATQ-GOI,Amritsar,Dabolim,,15188,10:40 PM,6:05 AM,7 hr 25 min,1 stop,2026-05-26T00:59:32.927543
ATQ-GOI,Amritsar,Dabolim,,15398,8:05 AM,2:40 PM,6 hr 35 min,1 stop,2026-05-26T00:59:32.931835
ATQ-GOI,Amritsar,Dabolim,,15706,11:10 PM,7:40 AM,8 hr 30 min,1 stop,2026-05-26T00:59:32.934718
ATQ-GOI,Amritsar,Dabolim,,16282,12:40 PM,7:30 PM,6 hr 50 min,1 stop,2026-05-26T00:59:32.937436
ATQ-GOI,Amritsar,Dabolim,,16298,8:20 AM,6:05 PM,9 hr 45 min,1 stop,2026-05-26T00:59:32.939814
