Kind,ICAO,FAA,IATA,City,Name,Latitude,Longitude,Max Runway,Airlines
Small,,,,,RAEDHANPUR,23.222(N),68.891(E),9000 ft,
Medium,VAKS,,IXK,,KESHOD,21.317(N),70.270(E),4500 ft,
Medium,VIJR,,JSA,,JAISALMER,26.889(N),70.865(E),9000 ft,
Small,VIUT,,,,UTTARLAI,25.813(N),71.482(E),9002 ft,
Medium,VOAT,,AGX,,AGATTI,10.824(N),72.176(E),4235 ft,1.0
Small,VADS,,,,DEESA,24.268(N),72.204(E),3300 ft,
Medium,VASU,,STV,,SURAT,21.114(N),72.742(E),3600 ft,3.0
Medium,VADN,,NMB,,DAMAN,20.434(N),72.843(E),5909 ft,
Closed,,,,,Salwas,26.142(N),73.097(E),,
Small,,,,,Airport,26.436(N),73.103(E),,
Medium,VARG,,RTC,,RATNAGIRI,17.014(N),73.328(E),4500 ft,
Small,,,,,NAGAUR,27.208(N),73.711(E),3853 ft,
Small,,,,,SURATGARH NEW,29.388(N),73.904(E),8990 ft,
Small,,,,,KARAD,17.286(N),74.158(E),4200 ft,
Medium,VAKP,,KLH,,KOLHAPUR,16.665(N),74.289(E),4495 ft,
Small,,,,,ONDWA,25.141(N),74.611(E),3895 ft,
Medium,VIBT,,BUP,,BHATINDA,30.270(N),74.756(E),9200 ft,
Small,,,,,NIMACH,24.431(N),74.868(E),3610 ft,
Small,VIAW,,,,AWANTIPUR,33.877(N),74.976(E),10500 ft,
Medium,VISA,,,,SIRSA,29.561(N),75.006(E),8987 ft,
Small,,,,,RATLAM,23.381(N),75.026(E),3753 ft,
Medium,VIUX,,,,UDHAMPUR,32.902(N),75.156(E),9000 ft,
Small,,,,,JALLOWAL,31.560(N),75.341(E),4010 ft,
Small,,,,,JHUNJHUNU,28.107(N),75.376(E),4567 ft,
Small,,,,,BIRLAGRAM,23.447(N),75.420(E),4724 ft,
Small,,,,,Khargon Govt. Airstrip,21.810(N),75.554(E),,
Small,,,,,PILANI NEW,28.349(N),75.594(E),3825 ft,
Small,VIHX,,,,HALWARA,30.749(N),75.630(E),8985 ft,
Medium,VIPK,,IXP,,PATHANKOT,32.234(N),75.635(E),8970 ft,
Medium,VIHR,,HSS,,HISSAR,29.179(N),75.755(E),4000 ft,
Small,VIAX,,,,ADAMPUR,31.434(N),75.759(E),9039 ft,
Small,,,,,HARIHAR,14.535(N),75.787(E),4893 ft,
Medium,VILD,,LUH,,LUDHIANA,30.855(N),75.953(E),4615 ft,
Small,,,,,KARGIL,34.524(N),76.156(E),6004 ft,
Small,VIBW,,,,BHIWANI,28.837(N),76.179(E),3500 ft,
Small,,,,,BHILWARA,28.077(N),76.205(E),3480 ft,
Small,VIPL,,,,PATIALA,30.315(N),76.364(E),3830 ft,
Small,,,VDY,,Vijayanagar Aerodrome (JSW),15.175(N),76.635(E),,
Medium,VIAM,,,,AMBALA,30.368(N),76.817(E),9224 ft,
Small,,,,,KALKA,30.821(N),76.892(E),3068 ft,
Small,,,,,KARNAL,29.714(N),77.038(E),3000 ft,
Medium,VAAK,,AKD,,AKOLA,20.699(N),77.059(E),3985 ft,
Small,VISM,,SLV,,SHIMLA,31.082(N),77.068(E),4035 ft,
Medium,VIBR,,KUU,,KULLU MANALI,31.877(N),77.154(E),3690 ft,3.0
Medium,VAGN,,GUX,,GUNA,24.655(N),77.347(E),2982 ft,
Small,VIDX,,,,HINDON,28.708(N),77.359(E),9000 ft,
Small,,,,,THOISE,34.653(N),77.376(E),10000 ft,
Small,VISP,,,,SARSAWA,29.994(N),77.425(E),9000 ft,
Medium,VOBR,,,,BIDAR,17.908(N),77.487(E),6955 ft,
Small,,,,,Jakkur Airfield,13.077(N),77.598(E),,
Small,,,,,MEERUT SW,28.905(N),77.677(E),5124 ft,
Small,,,,,HOSUR,12.661(N),77.767(E),3985 ft,
Closed,,,,,Kayathar Airstrip,8.971(N),77.821(E),,
Small,,,,,KOVILPATTI,9.154(N),77.821(E),3967 ft,
Small,,,,,Daulat Beg Oldi Advanced Landing Ground,35.396(N),77.929(E),,
Medium,VIAG,,AGR,,AGRA,27.156(N),77.961(E),9000 ft,1.0
Small,,,TCR,,TUTICORIN SOUTHWEST,8.724(N),78.026(E),4434 ft,1.0
Small,,,,,AMLA,21.926(N),78.114(E),2279 ft,
Small,,,,,BAND TAL,26.000(N),78.262(E),4027 ft,
Small,,,,,BHARKOT,30.583(N),78.323(E),3285 ft,
Small,VOHK,,,,HAKIMPET,17.553(N),78.525(E),6873 ft,
Small,VIJN,,,,JHANSI,25.491(N),78.558(E),3630 ft,
Small,,,,,Nadirgul Airport,17.306(N),78.560(E),,
Medium,VOCP,,CDP,,CUDDAPAH,14.510(N),78.773(E),3600 ft,1.0
Closed,,,,,Chettinad Airstrip,10.165(N),78.794(E),,
Small,,,,,DHANA,23.754(N),78.856(E),3260 ft,
Small,,,,,THUNIABHAND,22.002(N),78.917(E),3785 ft,
Small,,,,,CHINDWARA AIRFIELD,22.000(N),78.930(E),,
Small,,,,,FUKCHE,32.937(N),79.213(E),9002 ft,
Small,,,,,CHANDA,19.995(N),79.222(E),3128 ft,
Small,VONS,,,,NAGARJUNA SAGAR,16.543(N),79.319(E),5050 ft,
Closed,,,,,Ulundurpet Airstrip,11.689(N),79.321(E),,
Small,VOAR,,,,ARKONAM,13.071(N),79.691(E),12800 ft,
Medium,VOPC,,PNY,,PONDICHERRY,11.969(N),79.810(E),3983 ft,
Medium,VAJB,,JLR,,JABALPUR,23.178(N),80.052(E),6522 ft,3.0
Closed,,,,,Cholavaram Airstrip,13.210(N),80.152(E),,
Small,,,,,KALYANPUR,26.520(N),80.233(E),2880 ft,
Small,VIDF,,,,PITHORGARH,29.594(N),80.239(E),4335 ft,
Small,,,,,GONDIA,21.526(N),80.290(E),5625 ft,
Medium,VIKA,,KNU,,KANPUR,26.441(N),80.365(E),2995 ft,
Closed,,,,,kanha,22.093(N),80.596(E),,
Medium,VOBZ,,VGA,,VIJAYAWADA,16.530(N),80.797(E),5725 ft,5.0
Medium,VIST,,TNI,,SATNA,24.562(N),80.855(E),3476 ft,
Small,,,,,BHILAI,21.294(N),81.379(E),3900 ft,
Small,VIRB,,,,FURSATGANJ,26.248(N),81.381(E),5650 ft,
Small,,,,,BURHAR,23.235(N),81.504(E),3670 ft,
Small,,,,,SIDHI,24.402(N),81.815(E),3540 ft,
Small,,,,,Sultanpur,26.247(N),82.043(E),,
Medium,VABI,,PAB,,BILASPUR,21.988(N),82.111(E),5035 ft,1.0
Small,,,,,AKBARPUR,26.448(N),82.568(E),4260 ft,
Small,,,,,MUIRPUR,24.125(N),83.041(E),4665 ft,
Small,VEUK,,,,UTKELA,20.097(N),83.184(E),3000 ft,1.0
Small,,,,,Raigarh Airport (JSPL),21.935(N),83.350(E),,
Small,,,,,Vedanta Lanjigarh Airstrip,19.719(N),83.394(E),,
Small,,,,,NUAGAON,20.512(N),83.448(E),4100 ft,
Closed,,,,,no airport,20.467(N),83.483(E),,
Small,VEJH,,,,JHARSUGUDA,21.914(N),84.050(E),6320 ft,1.0
Small,,,,,DALTONGANJ,24.019(N),84.095(E),3000 ft,
Medium,VERK,,RRK,,ROURKELA,22.257(N),84.815(E),5542 ft,1.0
Small,VERL,,,,Raxaul Airport,26.967(N),84.833(E),,
Medium,VEGY,,GAY,,GAYA,24.744(N),84.951(E),7500 ft,10.0
Small,,,,,Angul Airport (JSPL),20.912(N),85.033(E),,
Medium,VEMZ,,MZU,,MUZAFFARPUR,26.119(N),85.314(E),3990 ft,
Small,,,,,Barbil Aerodrome (JSPL),22.049(N),85.374(E),,
Small,,,,,Noamundi Airport,22.192(N),85.549(E),,
Small,VEKJ,,,,KEONJHAR AIRPORT,21.697(N),85.582(E),,
Small,,,,,Jajpur ( Sukinda ) Airstrip,21.032(N),85.754(E),,
Small,,,,,CUTTACK,20.550(N),85.886(E),9000 ft,
Small,,,,,DARBHANGA,26.193(N),85.917(E),9000 ft,
Small,,,,,Madhubani Airport,26.329(N),86.060(E),,
Medium,VEJS,,IXW,,JAMSHEDPUR,22.813(N),86.169(E),3540 ft,1.0
Small,,,,,GIRIDIH,24.202(N),86.290(E),3015 ft,
Medium,VEDB,,DBD,,DHANBAD,23.834(N),86.425(E),3728 ft,
Small,,,,,saharsa airstrip,25.892(N),86.582(E),,
Small,,,,,Deoghar Airstrip,24.447(N),86.707(E),,
Small,VECK,,,,Chakulia Airport,22.461(N),86.708(E),,
Small,,,,,BURNPUR,23.631(N),86.976(E),4010 ft,
Closed,,,,,Dudhkundi Airfield,22.325(N),87.107(E),,
Small,VEDX,,,,KALAIKUNDA,22.340(N),87.214(E),9000 ft,
Closed,,,,,Piardoba Airfield,22.990(N),87.300(E),,
Closed,,,,,Pandaveswar Airfield,23.641(N),87.349(E),,
Closed,,,,,Bishnupur Airfield,23.034(N),87.355(E),,
Small,VEPU,,,,PURNEA,25.760(N),87.410(E),8700 ft,
Medium,VEPH,,,,PANAGARH,23.474(N),87.428(E),8700 ft,
Closed,,,,,Guskhara Airfield,23.472(N),87.794(E),,
Small,,,,,Pakyong Airport (Under Construction),27.231(N),88.587(E),,
Small,VECO,,COH,,COOCH BEHAR,26.331(N),89.467(E),3500 ft,
Small,VERU,,RUP,,Rupsi India Airport,26.140(N),89.910(E),,
Small,,,,,Baljek Airport,25.661(N),90.345(E),,
Small,VEKM,,IXQ,,Kamalpur Airport,24.132(N),91.814(E),,
Medium,VEKR,,IXH,,KAILASHAHAR,24.308(N),92.007(E),3300 ft,
Medium,VETZ,,TEZ,,TEZPUR,26.709(N),92.785(E),9010 ft,1.0
Medium,VOCX,,CBD,,CARNICOBAR,9.153(N),92.820(E),8914 ft,1.0
Medium,VEZO,,ZER,,ZERO,27.588(N),93.828(E),4010 ft,
Small,,,,,CAMPBELL BAY,7.013(N),93.923(E),3445 ft,
Closed,,,,,Koirengei Airstrip,24.872(N),93.926(E),,
Small,,,,,MACHUKA,28.605(N),94.124(E),4395 ft,
Medium,VEAN,,IXV,,ALONG,28.175(N),94.802(E),915 ft,
